Fixed_Acidity,Volatile_Acidity,Citric_Acid,Chlorides,Free_Sulfur_Dioxide,Total_Sulfur_Dioxide,pH,Sulphates,Alcohol,Quality,Sugar_Density
6.0,0.45,0.65,0.08,11.0,159.0,3.04,0.48,9.4,Normal,9.65732
6.3,0.26,0.21,0.03,24.0,125.0,3.06,0.34,10.7,Normal,3.966
10.3,0.17,0.47,0.037,5.0,33.0,2.89,0.28,9.6,Low,1.39146
7.7,0.15,0.29,0.029,10.0,64.0,3.35,0.39,10.1,Normal,1.29116
7.1,0.21,0.32,0.037,28.0,141.0,3.2,0.57,10.0,Normal,2.1846
6.9,0.36,0.34,0.018,57.0,119.0,3.28,0.36,12.7,High,4.15716
6.0,0.28,0.34,0.119,33.0,104.0,3.19,0.38,10.2,Normal,1.58736
6.2,0.16,0.54,0.126,37.0,110.0,3.23,0.37,8.9,Normal,1.39048
6.9,0.12,0.36,0.037,18.0,111.0,3.41,0.82,11.9,High,2.1821800000000002
8.8,0.36,0.44,0.04,9.0,121.0,3.19,0.48,9.9,Normal,1.8910699999999998
7.4,0.26,0.43,0.022,22.0,125.0,3.13,0.55,11.5,Normal,5.9568
6.8,0.23,0.29,0.035,38.0,236.0,3.35,0.52,9.8,Normal,12.17072
6.1,0.34,0.27,0.024,20.0,105.0,3.4,0.67,12.2,Normal,2.5755600000000003
7.3,0.26,0.31,0.04,39.0,173.0,3.19,0.51,11.4,Normal,1.58688
6.5,0.3,0.32,0.044,34.0,90.0,3.37,0.68,11.0,Normal,1.9837
5.0,0.31,0.0,0.046,43.0,166.0,3.3,0.63,9.9,Normal,6.3616
5.8,0.26,0.18,0.031,40.0,114.0,3.42,0.4,11.0,Normal,1.18896
5.9,0.26,0.3,0.036,38.0,114.0,3.58,0.48,9.4,Normal,0.9928
7.0,0.31,0.29,0.037,33.0,128.0,3.12,0.36,12.2,Normal,1.38544
5.6,0.19,0.39,0.043,17.0,67.0,3.23,0.53,10.3,Normal,1.09098
6.8,0.18,0.28,0.047,52.0,242.0,3.22,0.53,10.5,Normal,8.65824
7.0,0.29,0.26,0.044,12.0,87.0,3.08,0.46,10.5,Normal,1.58768
6.6,0.26,0.29,0.039,13.0,67.0,3.05,0.49,10.9,Normal,1.3881
6.8,0.18,0.28,0.047,52.0,242.0,3.22,0.53,10.5,Normal,8.4592
6.6,0.2,0.38,0.052,30.0,145.0,3.32,0.56,11.0,Normal,7.858130000000001
8.0,0.29,0.29,0.046,26.0,113.0,3.25,0.37,9.7,Normal,13.17756
6.1,0.28,0.35,0.048,63.0,229.0,3.08,0.4,8.9,Normal,12.768
5.9,0.31,0.3,0.047,60.0,206.0,3.2,0.39,9.6,Normal,7.6615
6.9,0.21,0.28,0.056,49.0,159.0,3.02,0.47,8.8,High,2.38656
8.4,0.19,0.42,0.047,9.0,101.0,3.06,0.65,11.1,Low,1.5904
8.3,0.27,0.45,0.048,8.0,72.0,3.08,0.61,10.3,Low,1.2927199999999999
7.1,0.25,0.39,0.036,30.0,124.0,3.28,0.43,12.2,High,2.08068
8.0,0.23,0.37,0.054,23.0,159.0,3.32,0.47,9.8,Low,9.58032
7.5,0.24,0.31,0.049,46.0,217.0,3.08,0.53,8.8,Normal,12.980500000000001
6.3,0.33,0.2,0.04,24.0,144.0,3.15,0.63,9.9,Normal,5.766649999999999
6.2,0.33,0.19,0.042,22.0,143.0,3.15,0.63,9.9,Normal,5.567799999999999
6.3,0.34,0.19,0.041,22.0,145.0,3.15,0.63,9.9,Normal,5.76694
5.8,0.29,0.05,0.038,11.0,30.0,3.36,0.35,9.2,Normal,0.79392
8.0,0.32,0.26,0.05,11.5,88.0,3.24,0.37,9.5,Low,1.19352
5.6,0.29,0.05,0.038,11.0,30.0,3.36,0.35,9.2,Normal,0.79392
7.4,0.13,0.39,0.042,36.0,137.0,3.36,0.56,10.3,Normal,4.6765
7.7,0.3,0.32,0.037,23.0,124.0,2.93,0.33,11.0,Normal,1.58704
7.0,0.24,0.34,0.031,27.0,107.0,3.06,0.39,11.9,Normal,1.386
8.6,0.18,0.4,0.04,20.0,107.0,2.94,0.32,10.2,Normal,1.0915300000000001
7.0,0.11,0.32,0.057,59.0,144.0,3.55,0.44,9.4,Normal,4.57976
7.7,0.32,0.62,0.036,56.0,153.0,3.13,0.44,8.9,Normal,10.57668
6.5,0.26,0.27,0.044,69.0,215.0,3.17,0.43,10.0,Normal,12.85743
7.9,0.28,0.41,0.044,50.0,152.0,3.45,0.49,10.7,High,1.9868
6.3,0.27,0.23,0.047,13.0,100.0,3.28,0.43,9.8,Normal,2.88144
5.4,0.595,0.1,0.042,26.0,80.0,3.36,0.38,9.3,Normal,2.78096
6.7,0.25,0.33,0.057,52.0,173.0,3.02,0.48,9.5,Normal,2.8808599999999998
6.5,0.25,0.35,0.055,47.0,179.0,3.58,0.47,10.0,Normal,11.975999999999999
6.1,0.36,0.58,0.044,42.0,115.0,3.15,0.51,9.0,Normal,14.967
7.7,0.17,0.52,0.017,21.0,84.0,3.14,0.4,11.9,Normal,5.858110000000001
6.4,0.26,0.43,0.033,64.0,230.0,3.08,0.38,8.9,Normal,12.567239999999998
6.5,0.26,0.28,0.046,80.0,225.0,3.18,0.41,10.0,Normal,12.460625
5.9,0.29,0.33,0.037,58.0,205.0,3.26,0.41,9.6,Normal,7.36263
6.2,0.28,0.43,0.039,64.0,233.0,3.08,0.38,8.9,Normal,12.966849999999999
6.1,0.27,0.44,0.041,61.0,230.0,3.12,0.4,8.9,Normal,6.666835
6.4,0.43,0.32,0.048,10.0,67.0,3.08,0.41,11.4,Normal,1.3887999999999998
6.2,0.35,0.29,0.044,56.0,244.0,3.36,0.55,10.0,Normal,7.26788
7.7,0.24,0.29,0.044,39.0,194.0,3.06,0.47,9.6,Normal,15.27246
6.2,0.34,0.28,0.034,40.0,197.0,3.14,0.6,9.7,Normal,7.461375
6.3,0.27,0.46,0.037,61.0,212.0,3.25,0.53,9.5,Normal,11.715925
5.4,0.415,0.19,0.039,27.0,88.0,3.54,0.41,10.0,Normal,1.58824
6.9,0.48,0.36,0.03,31.0,135.0,3.14,0.38,12.2,Normal,3.4663999999999997
6.5,0.18,0.33,0.051,16.0,131.0,3.28,0.44,8.7,Normal,7.972
6.7,0.15,0.29,0.058,28.0,105.0,3.52,0.44,10.2,Normal,4.973
8.2,0.345,1.0,0.047,55.0,205.0,2.96,0.43,9.6,Normal,18.19363
8.5,0.16,0.35,0.039,24.0,147.0,2.96,0.36,10.0,Normal,1.5896000000000001
6.8,0.705,0.25,0.048,10.0,57.0,3.36,0.52,9.5,Low,3.1872000000000003
7.3,0.25,0.39,0.034,8.0,84.0,3.18,0.46,11.5,Normal,6.3628800000000005
7.6,0.345,0.26,0.043,15.0,134.0,3.08,0.38,9.5,Normal,1.88784
7.6,0.22,0.34,0.035,26.0,143.0,3.08,0.49,9.8,Normal,9.66605
6.5,0.17,0.33,0.028,14.0,99.0,3.23,0.55,10.1,Normal,1.38992
8.2,0.23,0.37,0.042,39.0,117.0,2.99,0.36,10.0,Normal,1.29064
7.5,0.32,0.26,0.042,13.0,133.0,3.07,0.38,9.5,Normal,1.78884
6.6,0.23,0.32,0.041,25.0,79.0,3.39,0.54,10.2,Normal,0.89334
6.6,0.2,0.32,0.039,25.0,78.0,3.39,0.54,10.2,Normal,1.09186
7.3,0.24,0.34,0.05,38.0,174.0,3.03,0.42,9.0,Normal,15.37382
8.0,0.42,0.36,0.037,34.0,101.0,3.13,0.57,12.3,Normal,4.96
6.1,0.19,0.25,0.023,23.0,112.0,3.37,0.51,11.6,Normal,3.9692
5.9,0.26,0.21,0.034,36.0,152.0,3.28,0.43,9.5,Normal,12.465
8.3,0.23,0.43,0.035,14.0,101.0,3.15,0.36,11.5,Normal,3.1769600000000002
6.5,0.34,0.28,0.041,43.0,188.0,3.13,0.37,9.6,Normal,1.78704
6.8,0.22,0.35,0.039,38.0,153.0,3.24,0.42,9.0,Normal,17.4895
6.5,0.08,0.33,0.028,23.0,93.0,3.34,0.7,12.0,Normal,1.8828999999999998
5.5,0.42,0.09,0.019,18.0,68.0,3.33,0.51,11.4,Normal,1.5849600000000001
5.1,0.42,0.01,0.017,25.0,102.0,3.38,0.36,12.3,Normal,1.4841
6.0,0.27,0.19,0.02,24.0,110.0,3.32,0.47,12.6,Normal,1.68266
7.1,0.13,0.38,0.046,14.0,114.0,3.32,0.9,11.7,Normal,1.7865000000000002
7.6,0.3,0.25,0.054,22.0,111.0,3.12,0.49,9.2,Normal,4.28108
6.6,0.13,0.3,0.058,47.0,131.0,3.51,0.45,10.3,Normal,4.87354
6.5,0.14,0.33,0.05,53.0,189.0,3.25,0.49,8.6,Normal,7.57416
7.7,0.28,0.33,0.037,32.0,155.0,3.39,0.62,10.7,Normal,6.6671700000000005
6.0,0.2,0.71,0.15,10.0,54.0,3.12,0.47,9.8,Normal,1.5883200000000002
6.0,0.19,0.71,0.152,9.0,55.0,3.12,0.46,9.8,Normal,1.48905
5.1,0.39,0.21,0.027,15.0,72.0,3.5,0.45,12.5,Normal,1.6819799999999998
5.7,0.36,0.34,0.026,21.0,77.0,3.41,0.45,11.9,Normal,4.16094
6.9,0.19,0.33,0.043,63.0,149.0,3.44,0.52,10.8,Normal,1.588
6.0,0.41,0.21,0.05,29.0,122.0,3.42,0.52,10.5,Normal,1.88632
7.4,0.28,0.3,0.054,44.0,161.0,3.12,0.48,10.3,Normal,5.26873
7.4,0.3,0.3,0.053,45.0,163.0,3.12,0.45,10.3,Normal,5.16932
7.7,0.28,0.39,0.036,8.0,117.0,3.06,0.38,12.0,Normal,8.84215
8.6,0.16,0.38,0.04,41.0,143.0,2.95,0.39,10.2,Normal,3.37688
8.2,0.26,0.44,0.046,7.0,69.0,3.14,0.62,10.2,Low,1.2927199999999999
6.5,0.25,0.27,0.049,75.0,217.0,3.19,0.39,9.9,Normal,15.15744
7.0,0.24,0.18,0.046,9.0,62.0,3.38,0.47,10.1,Low,1.2922
8.6,0.18,0.36,0.04,24.0,187.0,3.25,0.55,9.5,Normal,1.7920800000000001
7.8,0.27,0.34,0.046,27.0,154.0,3.05,0.45,10.5,Normal,1.5883200000000002
6.0,0.26,0.34,0.046,6.0,29.0,3.29,0.63,10.4,Normal,1.29012
6.1,0.24,0.27,0.062,33.0,152.0,3.31,0.47,9.5,Normal,9.766680000000001
8.0,0.24,0.3,0.056,43.0,184.0,3.05,0.5,9.2,Normal,17.444765
7.6,0.21,0.6,0.046,47.0,165.0,3.05,0.54,10.1,Normal,2.08656
8.0,0.19,0.36,0.05,16.0,84.0,3.15,0.45,9.8,Normal,1.78848
6.4,0.28,0.41,0.045,61.0,216.0,3.09,0.46,9.4,Normal,6.76736
6.4,0.28,0.43,0.045,60.0,221.0,3.09,0.45,9.4,Normal,7.065919999999999
6.9,0.24,0.39,0.063,18.0,136.0,3.31,0.48,10.4,Normal,1.29064
5.8,0.36,0.26,0.038,40.0,153.0,3.34,0.55,11.3,Normal,3.2706299999999997
6.6,0.18,0.28,0.044,18.0,91.0,3.42,0.64,10.8,Normal,3.2769
5.1,0.52,0.06,0.052,30.0,79.0,3.32,0.43,9.3,Normal,2.6816400000000002
6.6,0.22,0.37,0.059,45.0,199.0,3.37,0.55,10.3,Normal,1.1916
8.3,0.15,0.39,0.055,32.0,146.0,3.08,0.39,10.5,Normal,1.2909
7.6,0.16,0.44,0.043,25.0,109.0,3.11,0.75,10.3,Normal,1.39048
7.7,0.16,0.41,0.048,60.0,173.0,3.24,0.66,11.2,Normal,1.68844
8.3,0.16,0.48,0.057,31.0,98.0,3.15,0.41,10.3,Normal,1.69031
6.2,0.25,0.47,0.048,62.0,210.0,3.19,0.5,9.5,Normal,11.56288
6.1,0.16,0.27,0.064,63.0,162.0,3.66,0.43,8.9,Normal,12.59244
7.6,0.39,0.22,0.036,19.0,113.0,3.03,0.29,10.2,Normal,2.77928
6.8,0.37,0.47,0.071,44.0,136.0,2.98,0.88,9.2,Normal,11.164159999999999
7.1,0.18,0.42,0.045,47.0,157.0,2.95,0.31,10.5,Normal,1.38824
8.3,0.14,0.26,0.049,56.0,189.0,3.21,0.62,9.5,Normal,1.4919
8.6,0.2,0.42,0.041,35.0,125.0,3.11,0.49,11.4,Normal,1.48875
6.8,0.19,0.32,0.019,54.0,188.0,3.25,0.37,11.1,High,7.004175
7.6,0.19,0.38,0.06,48.0,174.0,3.13,0.38,10.5,Normal,10.559719999999999
6.8,0.34,0.74,0.088,23.0,185.0,3.51,0.7,12.0,Normal,2.77984
6.2,0.15,0.46,0.039,38.0,123.0,3.38,0.51,9.7,Normal,1.5888
6.6,0.14,0.44,0.042,47.0,140.0,3.32,0.51,10.2,Normal,1.5888
8.0,0.55,0.17,0.04,13.0,60.0,3.09,0.3,9.5,Low,8.16392
7.0,0.24,0.35,0.052,51.0,128.0,3.41,0.59,10.4,Normal,1.49115
6.3,0.6,0.44,0.05,50.0,245.0,3.19,0.57,9.3,Low,10.969199999999999
7.1,0.2,0.41,0.054,24.0,166.0,3.48,0.62,10.5,Normal,2.08908
6.2,0.34,0.29,0.047,45.0,232.0,3.35,0.62,10.0,Normal,7.5658
7.1,0.3,0.36,0.055,44.5,234.0,3.49,0.64,10.2,Normal,6.780959999999999
7.9,0.64,0.46,0.244,33.0,227.0,2.87,0.74,9.1,Low,10.58198
8.8,0.17,0.38,0.04,39.0,148.0,3.16,0.67,10.2,Normal,1.78956
7.5,0.17,0.37,0.06,18.0,75.0,3.54,0.88,10.7,Normal,1.4904000000000002
7.1,0.47,0.24,0.044,11.0,77.0,3.21,0.56,9.7,Normal,5.9736
7.1,0.15,0.34,0.034,33.0,104.0,3.37,0.52,9.3,Normal,5.27509
7.5,0.17,0.34,0.035,13.0,102.0,3.05,0.74,11.0,Normal,1.38852
8.2,0.68,0.3,0.047,17.0,138.0,3.22,0.71,10.8,Low,2.0895
7.7,0.275,0.3,0.039,19.0,75.0,3.01,0.56,10.7,Normal,0.992
7.3,0.49,0.32,0.043,18.0,104.0,3.24,0.45,10.7,Low,5.17504
7.5,0.33,0.48,0.048,55.0,243.0,2.95,0.4,8.8,Normal,19.46945
7.2,0.21,0.37,0.049,23.0,94.0,3.16,0.48,10.9,Normal,1.58784
7.3,0.15,0.4,0.05,24.0,92.0,3.14,0.45,10.5,Normal,1.9864
6.5,0.19,0.1,0.046,23.0,107.0,3.29,0.45,10.0,Normal,1.2918100000000001
7.0,0.31,0.52,0.029,5.0,61.0,3.07,0.43,10.4,Normal,1.68606
8.3,0.4,0.38,0.038,15.0,75.0,3.03,0.43,9.2,Normal,1.09274
6.1,0.37,0.36,0.035,36.0,116.0,3.31,0.62,12.6,Normal,4.6577
7.3,0.24,0.34,0.048,29.0,152.0,3.1,0.54,9.0,Normal,7.4715
6.9,0.21,0.81,0.137,52.0,123.0,3.03,0.39,9.2,Normal,1.0925200000000002
7.6,0.29,0.42,0.035,18.0,86.0,2.99,0.39,11.3,Normal,1.28804
9.4,0.29,0.55,0.05,17.0,119.0,3.12,0.69,10.3,Low,2.19164
8.6,0.26,0.41,0.049,29.0,111.0,2.96,0.44,10.0,Normal,2.18702
7.5,0.21,0.34,0.06,26.0,111.0,3.51,0.47,10.7,Normal,1.19172
7.2,0.51,0.24,0.093,35.0,197.0,3.41,0.47,9.0,Normal,9.981
5.3,0.3,0.2,0.077,48.0,166.0,3.3,0.54,8.7,Low,1.09384
8.0,0.26,0.36,0.054,30.0,121.0,3.09,0.72,11.6,Normal,1.984
7.0,0.21,0.28,0.07,45.0,185.0,3.34,0.55,9.4,Normal,7.4745
6.7,0.26,0.26,0.079,35.5,216.0,3.31,0.68,9.5,Normal,3.9824
6.7,0.26,0.26,0.073,36.0,202.0,3.3,0.67,9.5,Normal,4.08196
8.1,0.26,0.37,0.072,48.0,159.0,3.37,0.7,10.9,Normal,1.89031
8.3,0.22,0.38,0.054,32.0,126.0,3.22,0.5,9.7,Normal,14.80296
6.4,0.3,0.51,0.048,62.0,172.0,3.08,0.45,9.1,Normal,5.4681
7.5,0.19,0.34,0.037,33.0,125.0,3.1,0.49,11.1,Normal,2.57998
8.8,0.33,0.44,0.024,9.0,87.0,2.96,0.4,12.6,Normal,6.297295
6.9,0.2,0.36,0.031,38.0,147.0,3.35,0.56,11.0,Normal,1.48965
8.0,0.37,0.32,0.04,32.0,166.0,3.0,0.55,11.3,Normal,1.5872000000000002
8.2,0.29,0.33,0.036,28.0,118.0,2.96,0.4,10.9,Normal,9.057229999999999
7.7,0.34,0.3,0.048,25.0,192.0,2.97,0.47,10.9,Normal,7.9608
6.2,0.55,0.45,0.049,27.0,186.0,3.17,0.5,9.3,Normal,11.9688
6.4,0.4,0.19,0.033,28.0,124.0,3.22,0.54,12.7,Normal,3.16928
7.5,0.28,0.33,0.048,42.0,180.0,3.37,0.59,10.1,Normal,7.67998
7.8,0.26,0.44,0.037,43.0,132.0,3.18,0.65,10.0,Normal,1.2927199999999999
6.5,0.26,0.34,0.051,56.0,197.0,3.49,0.42,9.8,Normal,16.30652
6.3,0.34,0.29,0.046,29.0,227.0,3.29,0.53,10.1,Normal,6.17024
6.8,0.15,0.33,0.059,31.0,118.0,3.43,0.39,9.0,Normal,4.679320000000001
6.3,0.27,0.25,0.038,52.0,155.0,3.28,0.38,9.4,Normal,5.771
7.4,0.2,0.37,0.048,43.0,190.0,3.03,0.42,9.2,Normal,16.941525
6.3,0.23,0.21,0.035,29.0,142.0,3.36,0.33,10.1,Normal,5.0704199999999995
7.3,0.31,0.69,0.041,58.0,160.0,3.06,0.45,8.6,Normal,10.17654
5.2,0.24,0.45,0.027,21.0,128.0,3.55,0.49,11.2,High,3.7695999999999996
7.0,0.24,0.32,0.037,39.0,123.0,3.17,0.42,11.2,High,1.2896
7.0,0.17,0.33,0.034,17.0,127.0,3.19,0.39,10.6,Normal,3.9736
8.3,0.21,0.58,0.049,62.0,213.0,3.01,0.51,9.3,Normal,17.11026
7.2,0.21,0.35,0.048,35.0,178.0,3.05,0.47,8.9,Normal,14.4739
7.1,0.21,0.4,0.069,24.0,156.0,3.42,0.43,10.6,Normal,1.19136
8.4,0.17,0.31,0.038,29.0,132.0,3.1,0.32,10.6,Normal,6.663150000000001
7.4,0.24,0.31,0.045,52.0,183.0,3.09,0.32,8.8,Normal,8.36892
5.3,0.24,0.33,0.033,25.0,97.0,3.59,0.38,11.0,High,1.2877800000000001
6.5,0.28,0.26,0.04,44.0,139.0,3.32,0.37,10.2,Normal,8.761280000000001
6.5,0.29,0.25,0.039,32.0,120.0,3.31,0.34,10.1,Normal,10.559719999999999
5.8,0.29,0.21,0.025,12.0,120.0,3.39,0.79,14.0,Normal,2.57244
6.3,0.17,0.42,0.028,45.0,107.0,3.27,0.43,11.8,Normal,2.77424
6.3,0.16,0.4,0.033,59.0,148.0,3.44,0.53,11.4,Normal,1.58624
7.9,0.29,0.39,0.036,6.0,117.0,3.12,0.42,10.7,Normal,6.658460000000001
5.5,0.32,0.45,0.028,25.0,191.0,3.51,0.49,11.5,Normal,4.86178
7.2,0.37,0.15,0.029,27.0,87.0,3.3,0.59,12.6,Normal,1.9806
6.1,0.29,0.27,0.024,13.0,76.0,3.21,0.51,12.6,Normal,1.6818099999999998
9.2,0.22,0.4,0.054,18.0,151.0,3.04,0.46,9.3,Low,2.38848
8.0,0.18,0.37,0.04,15.0,96.0,3.06,0.61,12.1,Normal,1.28856
6.5,0.22,0.34,0.053,55.0,177.0,3.52,0.44,9.9,Normal,11.9796
7.4,0.18,0.4,0.047,22.0,102.0,3.28,0.44,10.7,Normal,1.5899200000000002
6.5,0.52,0.17,0.047,5.0,26.0,3.26,0.32,10.0,Low,1.39048
7.0,0.15,0.38,0.047,33.0,96.0,3.13,0.39,10.4,High,2.1841600000000003
5.9,0.415,0.13,0.04,11.0,64.0,3.29,0.52,10.5,Normal,1.3890799999999999
8.1,0.45,0.34,0.037,33.0,216.0,3.31,0.64,9.7,Normal,8.280080000000002
5.8,0.415,0.13,0.04,11.0,64.0,3.29,0.52,10.5,Normal,1.3890799999999999
6.4,0.5,0.16,0.042,26.0,138.0,3.28,0.33,9.0,Normal,12.86646
6.7,0.105,0.32,0.051,34.0,106.0,3.54,0.45,9.2,Normal,12.3752
6.0,0.4,0.3,0.047,30.0,117.0,3.17,0.48,10.1,Normal,1.5889600000000002
6.6,0.25,0.39,0.04,40.0,89.0,3.35,0.4,11.4,Normal,1.437095
9.8,0.36,0.45,0.042,11.0,124.0,2.93,0.46,10.8,Normal,1.59104
9.6,0.23,0.4,0.044,19.0,135.0,2.96,0.49,10.9,Normal,1.49055
6.3,0.55,0.45,0.047,33.0,182.0,3.2,0.46,9.2,Normal,12.966199999999999
6.5,0.115,0.29,0.038,73.0,166.0,3.12,0.25,12.9,Normal,1.92855
6.4,0.125,0.29,0.042,24.0,99.0,3.23,0.32,12.0,Normal,5.8031999999999995
5.7,0.1,0.27,0.047,21.0,100.0,3.27,0.46,9.5,Normal,1.29064
7.9,0.25,0.29,0.031,33.0,117.0,3.06,0.32,11.8,Normal,5.25654
6.9,0.2,0.28,0.048,36.0,159.0,3.19,0.43,9.1,Normal,1.19232
6.9,0.23,0.34,0.047,24.0,128.0,3.2,0.52,9.7,Normal,3.9776
6.8,0.39,0.31,0.043,28.0,162.0,3.17,0.54,9.1,Normal,14.33278
8.7,0.22,0.42,0.053,27.0,114.0,2.99,0.43,10.0,Normal,2.2862
7.4,0.41,0.34,0.042,19.0,127.0,3.25,0.42,10.4,Normal,4.67791
6.7,0.25,0.34,0.048,30.0,161.0,3.44,0.47,9.5,Normal,12.83201
6.0,0.26,0.42,0.027,70.0,178.0,3.4,0.4,12.3,High,5.15528
6.1,0.31,0.37,0.031,70.0,170.0,3.42,0.4,11.7,High,8.34456
9.2,0.28,0.46,0.058,39.0,133.0,3.14,0.58,9.5,Normal,3.1872000000000003
9.0,0.31,0.49,0.034,26.0,91.0,2.99,0.34,11.5,Normal,6.85653
8.5,0.16,0.33,0.076,17.0,57.0,3.14,0.46,10.6,Normal,0.9921
9.3,0.34,0.49,0.052,30.0,146.0,3.17,0.61,10.2,Normal,7.2854
7.2,0.24,0.3,0.048,27.0,131.0,3.25,0.45,10.5,Normal,1.58928
7.2,0.25,0.32,0.047,27.0,132.0,3.26,0.44,10.5,Normal,1.4899499999999999
6.8,0.32,0.18,0.041,71.0,223.0,3.14,0.41,8.9,Normal,7.46925
9.1,0.27,0.32,0.031,15.0,151.0,3.03,0.41,10.6,Normal,1.0929600000000002
8.9,0.34,0.32,0.041,12.0,188.0,3.17,0.49,9.5,Normal,1.29389
7.0,0.17,0.37,0.025,29.0,111.0,3.2,0.49,10.8,Normal,5.6646600000000005
6.7,0.25,0.23,0.038,61.0,220.0,3.14,0.35,9.5,Normal,7.16544
6.9,0.32,0.17,0.042,69.0,219.0,3.13,0.4,8.9,Normal,7.56884
6.1,0.6,0.0,0.042,24.0,79.0,3.31,0.38,9.4,Low,1.2918100000000001
5.3,0.395,0.07,0.035,26.0,102.0,3.5,0.35,10.6,Normal,1.2896
7.9,0.16,0.3,0.037,37.0,171.0,3.47,0.44,9.0,Low,4.78416
7.6,0.33,0.36,0.034,26.0,172.0,3.42,0.48,10.5,Low,2.08824
7.8,0.3,0.29,0.054,23.0,135.0,3.16,0.38,9.0,Normal,16.84663
5.7,0.26,0.27,0.201,73.5,189.5,3.27,0.38,9.4,Normal,4.076219999999999
7.5,0.14,0.34,0.055,50.0,153.0,3.29,0.8,9.6,Normal,1.29285
6.6,0.25,0.41,0.043,29.0,151.0,3.15,0.6,10.2,Normal,7.360040000000001
8.2,0.23,0.49,0.057,15.0,73.0,3.07,0.38,10.4,Normal,0.89352
6.0,0.24,0.32,0.03,34.0,129.0,3.52,0.41,10.4,Normal,6.26598
6.1,0.45,0.27,0.039,13.0,82.0,3.23,0.32,9.5,Normal,0.7941600000000001
7.4,0.23,0.43,0.044,22.0,113.0,3.22,0.62,10.6,Normal,1.39132
7.2,0.2,0.38,0.037,21.0,74.0,3.21,0.37,11.0,Normal,0.9918
7.7,0.25,0.43,0.062,20.0,115.0,3.38,0.5,9.9,Normal,4.4847
8.2,0.61,0.45,0.03,15.0,118.0,3.14,0.34,9.6,Normal,5.37516
7.6,0.21,0.44,0.036,10.0,119.0,3.01,0.7,12.8,Normal,1.8834699999999998
7.4,0.22,0.33,0.045,31.0,101.0,3.42,0.55,11.4,Normal,1.9862
7.2,0.26,0.26,0.036,49.0,214.0,3.41,0.5,10.0,Normal,12.68222
6.4,0.25,0.41,0.042,57.0,173.0,3.0,0.44,9.1,Normal,8.5699
6.3,0.32,0.35,0.039,29.0,198.0,3.36,0.5,9.4,Normal,11.082239999999999
6.8,0.25,0.29,0.042,19.0,189.0,3.46,0.54,10.2,Normal,1.9904
9.8,0.44,0.4,0.036,35.0,167.0,2.97,0.39,9.2,Normal,2.78768
7.2,0.2,0.25,0.044,31.0,109.0,3.23,0.36,9.4,Normal,4.47705
7.5,0.42,0.45,0.029,20.0,125.0,3.12,0.36,10.1,Normal,9.0636
6.4,0.26,0.3,0.025,33.0,134.0,3.21,0.47,10.6,Normal,2.1824000000000003
7.9,0.46,0.32,0.033,40.0,138.0,3.18,0.44,12.8,Normal,4.0639199999999995
6.5,0.41,0.64,0.065,65.0,225.0,3.12,0.51,8.9,Normal,11.774040000000001
7.5,0.32,0.37,0.048,22.0,184.0,3.09,0.43,9.3,Normal,1.19256
6.6,0.21,0.38,0.026,40.0,104.0,3.25,0.4,11.1,High,2.18108
7.1,0.21,0.3,0.037,45.0,143.0,3.13,0.33,9.9,Normal,1.39048
7.6,0.26,0.47,0.068,5.0,55.0,3.1,0.45,9.6,Normal,1.59104
6.9,0.25,0.26,0.024,36.0,135.0,3.16,0.72,10.7,Normal,5.172960000000001
7.1,0.26,0.32,0.074,29.0,107.0,2.96,0.42,9.2,Normal,14.4211
7.3,0.22,0.4,0.042,44.5,129.5,3.36,0.41,9.1,Normal,14.74705
6.2,0.37,0.22,0.025,36.0,216.0,3.33,0.6,9.6,Normal,8.27012
7.9,0.22,0.45,0.038,53.0,141.0,3.03,0.46,9.2,Normal,14.18864
7.4,0.25,0.37,0.02,14.0,93.0,3.0,0.48,10.7,Normal,6.85791
6.8,0.18,0.37,0.027,37.0,93.0,3.3,0.45,10.8,Normal,1.488
7.0,0.17,0.37,0.028,26.0,75.0,3.3,0.46,10.8,Normal,1.4883
6.4,0.3,0.38,0.046,35.0,192.0,3.1,0.37,9.0,Normal,7.7649
5.0,0.33,0.16,0.049,10.0,97.0,3.48,0.44,10.7,Normal,1.4875500000000001
8.9,0.33,0.32,0.047,11.0,200.0,3.19,0.46,9.4,Normal,1.4930999999999999
7.0,0.26,0.46,0.037,61.0,171.0,2.94,0.35,8.8,Normal,15.52823
6.3,0.21,0.4,0.031,48.0,134.0,3.42,0.49,11.5,Normal,1.68589
8.0,0.23,0.46,0.03,30.0,125.0,3.23,0.47,12.5,Normal,1.48605
9.2,0.28,0.41,0.042,14.0,59.0,2.96,0.25,10.5,Normal,0.9922
7.3,0.27,0.39,0.064,28.0,188.0,3.29,0.3,9.7,Normal,6.671860000000001
7.6,0.32,0.36,0.04,32.0,155.0,3.23,0.52,11.3,Normal,1.5888
9.7,0.24,0.45,0.033,11.0,59.0,2.74,0.47,10.8,Normal,1.19112
8.0,0.28,0.42,0.045,41.0,169.0,3.17,0.43,10.6,Normal,7.0708899999999995
8.2,0.37,0.36,0.034,17.0,93.0,3.04,0.32,11.7,High,0.9906
8.0,0.61,0.38,0.301,24.0,220.0,2.94,0.48,9.2,Normal,12.091529999999999
7.2,0.26,0.44,0.027,25.0,126.0,3.02,0.34,11.1,High,7.0503
6.4,0.23,0.33,0.044,15.5,217.5,3.33,0.44,11.0,Normal,1.1407999999999998
